"MUNICIPIO","DESCRICAO","REGIAO"
"1100000"," RONDONIA - IGNORADO",""
"1100015","ALTA FLORESTA D'OESTE","001"
"1100023","ARIQUEMES","369"
"1100031","CABIXI","371"
"1100049","CACOAL","369"
"1100056","CEREJEIRAS","371"
"1100064","COLORADO DO OESTE","371"
"1100072","CORUMBIARA",""
"1100080","COSTA MARQUES","001"
"1100098","ESPIGAO D'OESTE","370"
"1100106","GUAJARA-MIRIM","001"
"1100114","JARU","369"
"1100122","JI-PARANA","369"
"1100130","MACHADINHO D'OESTE","369"
"1100148","NOVA BRASILANDIA D'OESTE","369"
"1100155","OURO PRETO DO OESTE","369"
"1100189","PIMENTA BUENO","370"
"1100205","PORTO VELHO","001"
"1100254","PRESIDENTE MEDICI","369"
"1100262","RIO CRESPO",""
"1100288","ROLIM DE MOURA","369"
"1100296","SANTA LUZIA D'OESTE","369"
"1100304","VILHENA","370"
"1100320","SAO MIGUEL DO GUAPORE","001"
"1100338","NOVA MAMORE","001"
"1100346","ALVORADA D'OESTE","369"
"1100403","ALTO PARAISO",""
"1100502","NOVO HORIZONTE DO OESTE",""
"1100601","CACAULANDIA",""
"1100700","CAMPO NOVO DE RONDONIA",""
"1100809","CANDEIAS DO JAMARI",""
"1100908","CASTANHEIRAS",""
"1101005","GOVERNADOR JORGE TEIXEIRA",""
"1101104","JAMARI",""
"1101203","MINISTRO ANDREAZZA",""
"1101302","MIRANTE DA SERRA",""
"1101401","MONTE NEGRO",""
"1101500","SERINGUEIRAS",""
"1101609","THEOBROMA",""
"1101708","URUPA",""
"1101807","VALE DO PARAISO",""
"1200000"," ACRE - IGNORADO",""
"1200013","ACRELANDIA",""
"1200054","ASSIS BRASIL","003"
"1200104","BRASILEIA","003"
"1200138","BUJARI",""
"1200179","CAPIXABA",""
"1200203","CRUZEIRO DO SUL","002"
"1200252","EPITACIOLANDIA",""
"1200302","FEIJO","002"
"1200328","JORDAO",""
